kp_0,kp_1,kp_2,kp_3,kp_4,kp_5,kp_6,kp_7,kp_8,kp_9,kp_10,kp_11,kp_12,kp_13,kp_14,kp_15,kp_16,kp_17,kp_18,kp_19,kp_20,kp_21,kp_22,kp_23,kp_24,kp_25,kp_26,kp_27,kp_28,kp_29,kp_30,kp_31,kp_32,kp_33,image_path,label
0.4029799,0.2738216,0.3904825,0.24408087,0.38938233,0.24097016,0.42079586,0.19194072,0.42424005,0.18975666,0.5277334,0.26022944,0.5476912,0.23842226,0.5280858,0.42458206,0.53717816,0.42305893,0.48110354,0.5795494,0.4872838,0.59055316,0.7314004,0.46597272,0.7594154,0.45708126,0.50215244,0.6495594,0.5099204,0.65698457,0.34272274,0.8517792,0.34453064,0.867275,/Users/pallavisumakurmala/Downloads/archive/Navasana/File3.jpeg,Navasana
0.38928217,0.72330046,0.37154305,0.7458354,0.37074763,0.74345505,0.3983036,0.7985596,0.39938027,0.79748774,0.49291474,0.7547173,0.48626208,0.7501427,0.49719322,0.57504916,0.49796972,0.5702255,0.50009185,0.45324785,0.4961496,0.44951975,0.6959943,0.5590377,0.6835286,0.5594188,0.48016882,0.42829436,0.4765832,0.45074803,0.31404167,0.26178825,0.3122919,0.2720823,/Users/pallavisumakurmala/Downloads/archive/Navasana/File11.jpeg,Navasana
0.33143306,0.35437584,0.3190124,0.3342775,0.31641775,0.331544,0.34652525,0.2853316,0.34405917,0.28320163,0.43963203,0.3283235,0.44757962,0.29736766,0.46510276,0.461959,0.47436154,0.46407303,0.4489112,0.5859778,0.45570308,0.59299266,0.68640155,0.4262001,0.7125499,0.42641544,0.5169437,0.56847775,0.524598,0.5741233,0.38061103,0.74640787,0.40071055,0.7539315,/Users/pallavisumakurmala/Downloads/archive/Navasana/File10.jpeg,Navasana
0.28078014,0.20979428,0.2717117,0.17907903,0.27160752,0.1774778,0.31542936,0.12741396,0.31889448,0.1271866,0.4349317,0.19079193,0.44547236,0.16601443,0.49512646,0.38996762,0.5050775,0.3907627,0.5121256,0.58357203,0.5163442,0.59955645,0.7027585,0.3939525,0.72397965,0.3855064,0.4932787,0.66613555,0.49352318,0.6663623,0.31656802,0.90422034,0.32863152,0.91079634,/Users/pallavisumakurmala/Downloads/archive/Navasana/File2.jpeg,Navasana
0.28078014,0.20979428,0.2717117,0.17907903,0.27160752,0.1774778,0.31542936,0.12741396,0.31889448,0.1271866,0.4349317,0.19079193,0.44547236,0.16601443,0.49512646,0.38996762,0.5050775,0.3907627,0.5121256,0.58357203,0.5163442,0.59955645,0.7027585,0.3939525,0.72397965,0.3855064,0.4932787,0.66613555,0.49352318,0.6663623,0.31656802,0.90422034,0.32863152,0.91079634,/Users/pallavisumakurmala/Downloads/archive/Navasana/File9.jpeg,Navasana
0.37551886,0.3344674,0.36054367,0.31954417,0.3606881,0.32149622,0.37963888,0.27681422,0.37847397,0.27108392,0.48075032,0.28071505,0.48161718,0.27781337,0.51576793,0.43035036,0.52732784,0.4400148,0.47490144,0.51377624,0.47793996,0.54797024,0.70993584,0.40585527,0.72161067,0.4113382,0.57869935,0.597929,0.5905043,0.604109,0.5680538,0.63352394,0.5320679,0.6212311,/Users/pallavisumakurmala/Downloads/archive/Navasana/File17.jpeg,Navasana
0.4233038,0.65813565,0.4055272,0.6816678,0.40266454,0.67859286,0.43564433,0.73604023,0.4309438,0.73426974,0.57401526,0.70328283,0.5434295,0.6909749,0.5178547,0.4887591,0.50911546,0.49663734,0.4622138,0.34557146,0.45864487,0.3552347,0.8041908,0.48768628,0.77048373,0.48529106,0.5363945,0.33172348,0.53849906,0.3390355,0.33026317,0.15890634,0.32986784,0.16282365,/Users/pallavisumakurmala/Downloads/archive/Navasana/File5.jpeg,Navasana
0.31857625,0.72952193,0.30461344,0.75657856,0.3023904,0.7535491,0.34299684,0.8056375,0.3347939,0.80459034,0.46272075,0.7581141,0.43054816,0.72595274,0.44887787,0.5754003,0.44024357,0.57109755,0.418341,0.41175944,0.41484103,0.4181293,0.7168066,0.589703,0.6684687,0.5721185,0.55938226,0.38907266,0.53921854,0.384642,0.43937907,0.15059195,0.43440235,0.15730786,/Users/pallavisumakurmala/Downloads/archive/Navasana/File4.jpeg,Navasana
0.36409613,0.83867687,0.35267878,0.8765553,0.33708942,0.83352154,0.4002082,0.91583127,0.35809994,0.8219451,0.5526172,0.8918089,0.46898556,0.74902076,0.6080085,0.69205177,0.5250824,0.6007182,0.5975763,0.5425876,0.5272614,0.4286226,0.8017179,0.66554683,0.7329609,0.6048678,0.69293475,0.4317686,0.65585655,0.39926812,0.4862201,0.17989889,0.48367757,0.17154092,/Users/pallavisumakurmala/Downloads/archive/Navasana/File16.jpeg,Navasana
0.35707682,0.2555893,0.34163532,0.23131512,0.34048674,0.22952096,0.37209126,0.15570942,0.37121016,0.14999886,0.49505365,0.20196454,0.54009026,0.16440141,0.60831666,0.3756841,0.628824,0.38041532,0.6068924,0.57063955,0.6077729,0.5715319,0.77740115,0.41074604,0.79747504,0.39738855,0.47001228,0.57551336,0.52208364,0.5948652,0.28811488,0.82685065,0.31838894,0.8138485,/Users/pallavisumakurmala/Downloads/archive/Navasana/File8.jpeg,Navasana
